from,to,move,from_x,from_y,to_x,to_y
152,152,0.0,-81.747883,42.9909158,-81.747883,42.9909158
152,153,1.0,-81.747883,42.9909158,-81.673821,43.0234011
152,157,0.0,-81.747883,42.9909158,-82.658383,42.2478004
152,158,0.0,-81.747883,42.9909158,-82.121,42.352
152,160,0.0,-81.747883,42.9909158,-81.7032851,43.1176554
152,163,0.0,-81.747883,42.9909158,-81.963222,43.0959662
152,165,0.0,-81.747883,42.9909158,-82.71,42.173
152,166,0.0,-81.747883,42.9909158,-82.71,42.173
152,175,0.0,-81.747883,42.9909158,-82.3893,42.4994721
152,176,0.0,-81.747883,42.9909158,-80.851883,42.6708456
152,177,0.0,-81.747883,42.9909158,-82.0290898,42.361376
152,183,0.0,-81.747883,42.9909158,-82.121,42.352
152,186,0.0,-81.747883,42.9909158,-81.740689,42.521339
152,187,0.0,-81.747883,42.9909158,-82.694882,42.1441272
152,188,0.0,-81.747883,42.9909158,-81.645,43.307
152,190,0.0,-81.747883,42.9909158,-82.4924805978698,42.2709973107996
152,191,0.0,-81.747883,42.9909158,-81.703,43.384
152,200,0.0,-81.747883,42.9909158,-82.972663,42.0311969
152,203,0.0,-81.747883,42.9909158,-81.8886375,43.1334802
152,204,0.0,-81.747883,42.9909158,-82.0466111,42.5425792
152,208,0.0,-81.747883,42.9909158,-82.265016,42.1943169
152,209,0.0,-81.747883,42.9909158,-82.265016,42.1943169
152,210,0.0,-81.747883,42.9909158,-82.121,42.352
152,217,0.0,-81.747883,42.9909158,-81.727894,42.961159
152,218,0.0,-81.747883,42.9909158,-82.81,42.191
152,220,0.0,-81.747883,42.9909158,-82.27,42.504
152,221,0.0,-81.747883,42.9909158,-82.8495114009887,42.1550829289583
152,224,0.0,-81.747883,42.9909158,-82.8744109,42.0125
152,227,0.0,-81.747883,42.9909158,-82.5429226999999,42.2796218
152,229,0.0,-81.747883,42.9909158,-82.202293792195,42.208005923316
152,233,0.0,-81.747883,42.9909158,-82.02441,43.15
152,236,0.0,-81.747883,42.9909158,-82.186,42.273
152,237,0.0,-81.747883,42.9909158,-81.9785776,43.1763889
152,238,0.0,-81.747883,42.9909158,-82.4599972703613,42.2312844987133
152,245,0.0,-81.747883,42.9909158,-82.1199644,42.3503825
152,246,0.0,-81.747883,42.9909158,-83.0428326274779,42.0813135783287
152,252,0.0,-81.747883,42.9909158,-82.121,42.352
152,253,0.0,-81.747883,42.9909158,-81.72043,42.4538532
152,258,0.0,-81.747883,42.9909158,-81.903835,42.9235182
152,259,0.0,-81.747883,42.9909158,-81.656121,43.4238398
153,152,0.0,-81.673821,43.0234011,-81.747883,42.9909158
153,153,0.0,-81.673821,43.0234011,-81.673821,43.0234011
153,157,0.0,-81.673821,43.0234011,-82.658383,42.2478004
153,158,0.0,-81.673821,43.0234011,-82.121,42.352
153,160,0.0,-81.673821,43.0234011,-81.7032851,43.1176554
153,163,0.0,-81.673821,43.0234011,-81.963222,43.0959662
153,165,0.0,-81.673821,43.0234011,-82.71,42.173
153,166,0.0,-81.673821,43.0234011,-82.71,42.173
153,175,0.0,-81.673821,43.0234011,-82.3893,42.4994721
153,176,0.0,-81.673821,43.0234011,-80.851883,42.6708456
153,177,0.0,-81.673821,43.0234011,-82.0290898,42.361376
153,183,0.0,-81.673821,43.0234011,-82.121,42.352
153,186,0.0,-81.673821,43.0234011,-81.740689,42.521339
153,187,0.0,-81.673821,43.0234011,-82.694882,42.1441272
153,188,1.0,-81.673821,43.0234011,-81.645,43.307
153,190,0.0,-81.673821,43.0234011,-82.4924805978698,42.2709973107996
153,191,0.0,-81.673821,43.0234011,-81.703,43.384
153,200,0.0,-81.673821,43.0234011,-82.972663,42.0311969
153,203,0.0,-81.673821,43.0234011,-81.8886375,43.1334802
153,204,0.0,-81.673821,43.0234011,-82.0466111,42.5425792
153,208,0.0,-81.673821,43.0234011,-82.265016,42.1943169
153,209,0.0,-81.673821,43.0234011,-82.265016,42.1943169
153,210,0.0,-81.673821,43.0234011,-82.121,42.352
153,217,0.0,-81.673821,43.0234011,-81.727894,42.961159
153,218,0.0,-81.673821,43.0234011,-82.81,42.191
153,220,0.0,-81.673821,43.0234011,-82.27,42.504
153,221,0.0,-81.673821,43.0234011,-82.8495114009887,42.1550829289583
153,224,0.0,-81.673821,43.0234011,-82.8744109,42.0125
153,227,0.0,-81.673821,43.0234011,-82.5429226999999,42.2796218
153,229,0.0,-81.673821,43.0234011,-82.202293792195,42.208005923316
153,233,0.0,-81.673821,43.0234011,-82.02441,43.15
153,236,0.0,-81.673821,43.0234011,-82.186,42.273
153,237,0.0,-81.673821,43.0234011,-81.9785776,43.1763889
153,238,0.0,-81.673821,43.0234011,-82.4599972703613,42.2312844987133
153,245,0.0,-81.673821,43.0234011,-82.1199644,42.3503825
153,246,0.0,-81.673821,43.0234011,-83.0428326274779,42.0813135783287
153,252,0.0,-81.673821,43.0234011,-82.121,42.352
153,253,0.0,-81.673821,43.0234011,-81.72043,42.4538532
153,258,0.0,-81.673821,43.0234011,-81.903835,42.9235182
153,259,0.0,-81.673821,43.0234011,-81.656121,43.4238398
157,152,0.0,-82.658383,42.2478004,-81.747883,42.9909158
157,153,0.0,-82.658383,42.2478004,-81.673821,43.0234011
157,157,0.0,-82.658383,42.2478004,-82.658383,42.2478004
157,158,0.0,-82.658383,42.2478004,-82.121,42.352
157,160,0.0,-82.658383,42.2478004,-81.7032851,43.1176554
157,163,0.0,-82.658383,42.2478004,-81.963222,43.0959662
157,165,1.0,-82.658383,42.2478004,-82.71,42.173
157,166,0.0,-82.658383,42.2478004,-82.71,42.173
157,175,0.0,-82.658383,42.2478004,-82.3893,42.4994721
157,176,0.0,-82.658383,42.2478004,-80.851883,42.6708456
157,177,0.0,-82.658383,42.2478004,-82.0290898,42.361376
157,183,0.0,-82.658383,42.2478004,-82.121,42.352
157,186,0.0,-82.658383,42.2478004,-81.740689,42.521339
157,187,0.0,-82.658383,42.2478004,-82.694882,42.1441272
157,188,0.0,-82.658383,42.2478004,-81.645,43.307
157,190,0.0,-82.658383,42.2478004,-82.4924805978698,42.2709973107996
157,191,0.0,-82.658383,42.2478004,-81.703,43.384
157,200,0.0,-82.658383,42.2478004,-82.972663,42.0311969
157,203,0.0,-82.658383,42.2478004,-81.8886375,43.1334802
157,204,0.0,-82.658383,42.2478004,-82.0466111,42.5425792
157,208,0.0,-82.658383,42.2478004,-82.265016,42.1943169
157,209,0.0,-82.658383,42.2478004,-82.265016,42.1943169
157,210,0.0,-82.658383,42.2478004,-82.121,42.352
157,217,0.0,-82.658383,42.2478004,-81.727894,42.961159
157,218,0.0,-82.658383,42.2478004,-82.81,42.191
157,220,0.0,-82.658383,42.2478004,-82.27,42.504
157,221,0.0,-82.658383,42.2478004,-82.8495114009887,42.1550829289583
157,224,0.0,-82.658383,42.2478004,-82.8744109,42.0125
157,227,0.0,-82.658383,42.2478004,-82.5429226999999,42.2796218
157,229,0.0,-82.658383,42.2478004,-82.202293792195,42.208005923316
157,233,0.0,-82.658383,42.2478004,-82.02441,43.15
157,236,0.0,-82.658383,42.2478004,-82.186,42.273
157,237,0.0,-82.658383,42.2478004,-81.9785776,43.1763889
